MonthYear,colony,Tubelabel_species,Health_Status,Extracted,Raw_ng_ul,Extraction_physical_location,Extraction_notes,Condition,Caroline_ITS2
092022,2_55,92022_PAN_BDT_T2_15_SSID,Healthy,6_09_2026,5.26,UML_PENGUIN_B3,,Healthy,x
092022,2_57,92022_PAN_BDT_T2_48_CNAT,Healthy,6_4_2025,14.9,UML_PENGUIN_B1,,Healthy,
092022,2_59,92022_PAN_BDT_T2_23_SSID,Healthy,6_09_2026,11.9,UML_PENGUIN_B3,,Healthy,x
092022,3_29,92022_PAN_BDT_T3_19_OFAV,Healthy,4_06_2026,23.4,UML_PENGUIN_B2,,Healthy,x
092022,3_60,92022_PAN_BDT_T3_36_CNAT,Healthy,6_17_2025,7.6,UML_PENGUIN_B1,,Healthy,
092022,3_61,92022_PAN_BDT_T3_37_CNAT,Healthy,6_17_2025,3.64,UML_PENGUIN_B1,,Healthy,
092022,3_68,92022_PAN_BDT_T3_38_CNAT,Healthy,6_17_2025,7.78,UML_PENGUIN_B1,,DC,x
092022,3_71,92022_PAN_BDT_T3_39_CNAT,Healthy,6_17_2025,14.2,UML_PENGUIN_B1,,CLP,
092022,3_72,92022_PAN_BDT_T3_31_PSTR,Healthy,5_18_2026,22.2,UML_PENGUIN_B2,,Healthy,x
092022,3_73,92022_PAN_BDT_T3_32_PSTR,Healthy,5_18_2026,33.4,UML_PENGUIN_B2,,Healthy,x
092022,3_74,92022_PAN_BDT_T3_41_CNAT,Healthy,6_17_2025,2.46,UML_PENGUIN_B1,,Healthy,
092022,3_75,92022_PAN_BDT_T3_42_CNAT,Healthy,6_17_2025,5.44,UML_PENGUIN_B1,,Healthy,x
092022,3_76,92022_PAN_BDT_T3_8_CNAT,Healthy,6_25_2025,12.4,UML_PENGUIN_B1,,Healthy,
092022,3_77,92022_PAN_BDT_T3_18_PSTR,Healthy,5_18_2026,30,UML_PENGUIN_B2,,Healthy,
092022,3_81,92022_PAN_BDT_T3_27_SSID,Healthy,6_09_2026,36.2,UML_PENGUIN_B3,,Healthy,x
092022,3_82,92022_PAN_BDT_T3_15_MCAV,Healthy,5_18_2026,7.7,UML_PENGUIN_B2,,Healthy,x
092022,3_87,92022_PAN_BDT_T3_21_PSTR,Healthy,5_18_2026,75.6,UML_PENGUIN_B2,,Healthy,x
092022,3_91,92022_PAN_BDT_T3_10_MCAV,Healthy,5_18_2026,2.92,UML_PENGUIN_B2,,Healthy,x
102023,1_10,102023_PAN_BDT_T1_148_SSID,CLP,6_09_2026,32.6,UML_PENGUIN_B3,,CLP,x
